area_name,area_type,data_layer,uncertainty_score,year,scientific_name,common_name,functional_group,commercial_group,fishing_entity,fishing_sector,catch_type,reporting_status,gear_type,end_use_type,tonnes,landed_value
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1950,"Isurus oxyrinchus","Shortfin mako","Large sharks (>=90 cm)","Sharks & rays","Japan",Industrial,Landings,Unreported,longline,Other,0.0001140242,6.5759063958031e-07
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1950,"Isurus oxyrinchus","Shortfin mako","Large sharks (>=90 cm)","Sharks & rays","Korea (South)",Industrial,Landings,Unreported,longline,Direct human consumption,4.1525960422,7779.959279203786
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1950,"Isurus oxyrinchus","Shortfin mako","Large sharks (>=90 cm)","Sharks & rays","Korea (South)",Industrial,Landings,Unreported,longline,Fishmeal and fish oil,0.0020783764,2.5425593194165322e-05
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1950,"Isurus oxyrinchus","Shortfin mako","Large sharks (>=90 cm)","Sharks & rays","Korea (South)",Industrial,Landings,Unreported,longline,Other,0.0020783764,2.5425593194165322e-05
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1950,"Prionace glauca","Blue shark","Large sharks (>=90 cm)","Sharks & rays","Japan",Industrial,Landings,Unreported,longline,Direct human consumption,0.0047566396,2.6279896317496787
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1950,"Prionace glauca","Blue shark","Large sharks (>=90 cm)","Sharks & rays","Japan",Industrial,Landings,Unreported,longline,Fishmeal and fish oil,0.0000023807,1.37297735640575e-08
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1950,"Prionace glauca","Blue shark","Large sharks (>=90 cm)","Sharks & rays","Japan",Industrial,Landings,Unreported,longline,Other,0.0000023807,1.37297735640575e-08
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1950,"Prionace glauca","Blue shark","Large sharks (>=90 cm)","Sharks & rays","Korea (South)",Industrial,Landings,Unreported,longline,Direct human consumption,0.0867016715,69.59974827457728
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1950,"Prionace glauca","Blue shark","Large sharks (>=90 cm)","Sharks & rays","Korea (South)",Industrial,Landings,Unreported,longline,Fishmeal and fish oil,0.0000433942,5.3085862612816e-07
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1950,"Prionace glauca","Blue shark","Large sharks (>=90 cm)","Sharks & rays","Korea (South)",Industrial,Landings,Unreported,longline,Other,0.0000433942,5.3085862612816e-07
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1950,"Alopias vulpinus","Thresher","Large sharks (>=90 cm)","Sharks & rays","Japan",Industrial,Landings,Unreported,longline,Direct human consumption,0.1040545903,57.488985369645874
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1950,"Alopias vulpinus","Thresher","Large sharks (>=90 cm)","Sharks & rays","Japan",Industrial,Landings,Unreported,longline,Fishmeal and fish oil,0.0000520794,3.003477418695675e-07
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1950,"Alopias vulpinus","Thresher","Large sharks (>=90 cm)","Sharks & rays","Japan",Industrial,Landings,Unreported,longline,Other,0.0000520794,3.003477418695675e-07
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1950,"Alopias vulpinus","Thresher","Large sharks (>=90 cm)","Sharks & rays","Korea (South)",Industrial,Landings,Unreported,longline,Direct human consumption,1.8966554220,1522.5397341455057
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1950,"Alopias vulpinus","Thresher","Large sharks (>=90 cm)","Sharks & rays","Korea (South)",Industrial,Landings,Unreported,longline,Fishmeal and fish oil,0.0009492770,1.1612877510783296e-05
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1950,"Alopias vulpinus","Thresher","Large sharks (>=90 cm)","Sharks & rays","Korea (South)",Industrial,Landings,Unreported,longline,Other,0.0009492770,1.1612877510783296e-05
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1951,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Japan",Industrial,Discards,Unreported,longline,,0.2580070060
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1951,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Korea (South)",Industrial,Discards,Unreported,longline,,4.7028236210
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1951,"Marine finfishes not identified","Finfishes","Medium demersals (30 - 89 cm)","Other fishes & inverts","Japan",Industrial,Landings,Unreported,longline,Direct human consumption,0.2527130670,117.72323490749834
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1951,"Marine finfishes not identified","Finfishes","Medium demersals (30 - 89 cm)","Other fishes & inverts","Japan",Industrial,Landings,Unreported,longline,Fishmeal and fish oil,0.0001264830,0.00015077180426287517
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1951,"Marine finfishes not identified","Finfishes","Medium demersals (30 - 89 cm)","Other fishes & inverts","Japan",Industrial,Landings,Unreported,longline,Other,0.0001264830,0.00015077180426287517
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1951,"Marine finfishes not identified","Finfishes","Medium demersals (30 - 89 cm)","Other fishes & inverts","Korea (South)",Industrial,Landings,Unreported,longline,Direct human consumption,4.6063283237,2823.3110873798887
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1951,"Marine finfishes not identified","Finfishes","Medium demersals (30 - 89 cm)","Other fishes & inverts","Korea (South)",Industrial,Landings,Unreported,longline,Fishmeal and fish oil,0.0023054696,0.005013573130725047
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1951,"Marine finfishes not identified","Finfishes","Medium demersals (30 - 89 cm)","Other fishes & inverts","Korea (South)",Industrial,Landings,Unreported,longline,Other,0.0023054696,0.005013573130725047
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1951,"Elasmobranchii","Sharks, rays, skates","Large sharks (>=90 cm)","Sharks & rays","Japan",Industrial,Landings,Unreported,longline,Direct human consumption,0.1268168892,81.4922746273476
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1951,"Elasmobranchii","Sharks, rays, skates","Large sharks (>=90 cm)","Sharks & rays","Japan",Industrial,Landings,Unreported,longline,Fishmeal and fish oil,0.0000634719,8.490146362852125e-07
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1951,"Elasmobranchii","Sharks, rays, skates","Large sharks (>=90 cm)","Sharks & rays","Japan",Industrial,Landings,Unreported,longline,Other,0.0000634719,8.490146362852125e-07
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1951,"Elasmobranchii","Sharks, rays, skates","Large sharks (>=90 cm)","Sharks & rays","Korea (South)",Industrial,Landings,Unreported,longline,Direct human consumption,2.3115552988,1954.3982869446456
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1951,"Elasmobranchii","Sharks, rays, skates","Large sharks (>=90 cm)","Sharks & rays","Korea (South)",Industrial,Landings,Unreported,longline,Fishmeal and fish oil,0.0011569346,2.8232048751742057e-05
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1951,"Elasmobranchii","Sharks, rays, skates","Large sharks (>=90 cm)","Sharks & rays","Korea (South)",Industrial,Landings,Unreported,longline,Other,0.0011569346,2.8232048751742057e-05
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1951,"Scombridae","Mackerels, tunas, bonitos","Medium pelagics (30 - 89 cm)","Perch-likes","Japan",Industrial,Landings,Unreported,unknown class,Direct human consumption,0.0228667863,24.36606278734812
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1951,"Scombridae","Mackerels, tunas, bonitos","Medium pelagics (30 - 89 cm)","Perch-likes","Japan",Industrial,Landings,Unreported,unknown class,Fishmeal and fish oil,0.0000114448,3.5589171727569245e-05
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1951,"Scombridae","Mackerels, tunas, bonitos","Medium pelagics (30 - 89 cm)","Perch-likes","Japan",Industrial,Landings,Unreported,unknown class,Other,0.0000114448,3.5589171727569245e-05
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1951,"Scombridae","Mackerels, tunas, bonitos","Medium pelagics (30 - 89 cm)","Perch-likes","Korea (South)",Industrial,Landings,Unreported,unknown class,Direct human consumption,0.4168044204,584.3622318965353
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1951,"Scombridae","Mackerels, tunas, bonitos","Medium pelagics (30 - 89 cm)","Perch-likes","Korea (South)",Industrial,Landings,Unreported,unknown class,Fishmeal and fish oil,0.0002086108,0.0011834368655176358
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1951,"Scombridae","Mackerels, tunas, bonitos","Medium pelagics (30 - 89 cm)","Perch-likes","Korea (South)",Industrial,Landings,Unreported,unknown class,Other,0.0002086108,0.0011834368655176358
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1951,"Isurus oxyrinchus","Shortfin mako","Large sharks (>=90 cm)","Sharks & rays","Japan",Industrial,Landings,Unreported,longline,Direct human consumption,0.2733844069,175.6762629577172
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1951,"Isurus oxyrinchus","Shortfin mako","Large sharks (>=90 cm)","Sharks & rays","Japan",Industrial,Landings,Unreported,longline,Fishmeal and fish oil,0.0001368290,1.8302559252523124e-06
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1951,"Isurus oxyrinchus","Shortfin mako","Large sharks (>=90 cm)","Sharks & rays","Japan",Industrial,Landings,Unreported,longline,Other,0.0001368290,1.8302559252523124e-06
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1951,"Isurus oxyrinchus","Shortfin mako","Large sharks (>=90 cm)","Sharks & rays","Korea (South)",Industrial,Landings,Unreported,longline,Direct human consumption,4.9831152506,4213.177125561855
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1951,"Isurus oxyrinchus","Shortfin mako","Large sharks (>=90 cm)","Sharks & rays","Korea (South)",Industrial,Landings,Unreported,longline,Fishmeal and fish oil,0.0024940517,6.086099379187375e-05
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1951,"Isurus oxyrinchus","Shortfin mako","Large sharks (>=90 cm)","Sharks & rays","Korea (South)",Industrial,Landings,Unreported,longline,Other,0.0024940517,6.086099379187375e-05
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1951,"Prionace glauca","Blue shark","Large sharks (>=90 cm)","Sharks & rays","Japan",Industrial,Landings,Unreported,longline,Direct human consumption,0.0057079683,3.667928812873743
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1951,"Prionace glauca","Blue shark","Large sharks (>=90 cm)","Sharks & rays","Japan",Industrial,Landings,Unreported,longline,Fishmeal and fish oil,0.0000028568,3.8213748005225e-08
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1951,"Prionace glauca","Blue shark","Large sharks (>=90 cm)","Sharks & rays","Japan",Industrial,Landings,Unreported,longline,Other,0.0000028568,3.8213748005225e-08
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1951,"Prionace glauca","Blue shark","Large sharks (>=90 cm)","Sharks & rays","Korea (South)",Industrial,Landings,Unreported,longline,Direct human consumption,0.1040420058,87.96653841781806
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1951,"Prionace glauca","Blue shark","Large sharks (>=90 cm)","Sharks & rays","Korea (South)",Industrial,Landings,Unreported,longline,Fishmeal and fish oil,0.0000520731,1.270711102093884e-06
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1951,"Prionace glauca","Blue shark","Large sharks (>=90 cm)","Sharks & rays","Korea (South)",Industrial,Landings,Unreported,longline,Other,0.0000520731,1.270711102093884e-06
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1951,"Alopias vulpinus","Thresher","Large sharks (>=90 cm)","Sharks & rays","Japan",Industrial,Landings,Unreported,longline,Direct human consumption,0.1248655085,80.23832138672869
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1951,"Alopias vulpinus","Thresher","Large sharks (>=90 cm)","Sharks & rays","Japan",Industrial,Landings,Unreported,longline,Fishmeal and fish oil,0.0000624952,8.359505187431375e-07
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1951,"Alopias vulpinus","Thresher","Large sharks (>=90 cm)","Sharks & rays","Japan",Industrial,Landings,Unreported,longline,Other,0.0000624952,8.359505187431375e-07
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1951,"Alopias vulpinus","Thresher","Large sharks (>=90 cm)","Sharks & rays","Korea (South)",Industrial,Landings,Unreported,longline,Direct human consumption,2.2759865062,1924.3252069854004
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1951,"Alopias vulpinus","Thresher","Large sharks (>=90 cm)","Sharks & rays","Korea (South)",Industrial,Landings,Unreported,longline,Fishmeal and fish oil,0.0011391324,2.7797631332735946e-05
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1951,"Alopias vulpinus","Thresher","Large sharks (>=90 cm)","Sharks & rays","Korea (South)",Industrial,Landings,Unreported,longline,Other,0.0011391324,2.7797631332735946e-05
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1952,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Japan",Industrial,Discards,Unreported,longline,,0.3010081740
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1952,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Korea (South)",Industrial,Discards,Unreported,longline,,5.4866275580
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1952,"Marine finfishes not identified","Finfishes","Medium demersals (30 - 89 cm)","Other fishes & inverts","Japan",Industrial,Landings,Unreported,longline,Direct human consumption,0.2948319110,125.96352823717822
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1952,"Marine finfishes not identified","Finfishes","Medium demersals (30 - 89 cm)","Other fishes & inverts","Japan",Industrial,Landings,Unreported,longline,Fishmeal and fish oil,0.0001475635,0.00018355559363511309
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1952,"Marine finfishes not identified","Finfishes","Medium demersals (30 - 89 cm)","Other fishes & inverts","Japan",Industrial,Landings,Unreported,longline,Other,0.0001475635,0.00018355559363511309
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1952,"Marine finfishes not identified","Finfishes","Medium demersals (30 - 89 cm)","Other fishes & inverts","Korea (South)",Industrial,Landings,Unreported,longline,Direct human consumption,5.3740497109,2977.8287158536195
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1952,"Marine finfishes not identified","Finfishes","Medium demersals (30 - 89 cm)","Other fishes & inverts","Korea (South)",Industrial,Landings,Unreported,longline,Fishmeal and fish oil,0.0026897146,0.006107580601936405
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1952,"Marine finfishes not identified","Finfishes","Medium demersals (30 - 89 cm)","Other fishes & inverts","Korea (South)",Industrial,Landings,Unreported,longline,Other,0.0026897146,0.006107580601936405
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1952,"Elasmobranchii","Sharks, rays, skates","Large sharks (>=90 cm)","Sharks & rays","Japan",Industrial,Landings,Unreported,longline,Direct human consumption,0.1479530379,82.80102181285501
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1952,"Elasmobranchii","Sharks, rays, skates","Large sharks (>=90 cm)","Sharks & rays","Japan",Industrial,Landings,Unreported,longline,Fishmeal and fish oil,0.0000740506,1.0272012868370205e-06
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1952,"Elasmobranchii","Sharks, rays, skates","Large sharks (>=90 cm)","Sharks & rays","Japan",Industrial,Landings,Unreported,longline,Other,0.0000740506,1.0272012868370205e-06
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1952,"Elasmobranchii","Sharks, rays, skates","Large sharks (>=90 cm)","Sharks & rays","Korea (South)",Industrial,Landings,Unreported,longline,Direct human consumption,2.6968145160,1957.449240806419
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1952,"Elasmobranchii","Sharks, rays, skates","Large sharks (>=90 cm)","Sharks & rays","Korea (South)",Industrial,Landings,Unreported,longline,Fishmeal and fish oil,0.0013497570,3.417882518377509e-05
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1952,"Elasmobranchii","Sharks, rays, skates","Large sharks (>=90 cm)","Sharks & rays","Korea (South)",Industrial,Landings,Unreported,longline,Other,0.0013497570,3.417882518377509e-05
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1952,"Scombridae","Mackerels, tunas, bonitos","Medium pelagics (30 - 89 cm)","Perch-likes","Japan",Industrial,Landings,Unreported,unknown class,Direct human consumption,0.0266779164,18.695280314589
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1952,"Scombridae","Mackerels, tunas, bonitos","Medium pelagics (30 - 89 cm)","Perch-likes","Japan",Industrial,Landings,Unreported,unknown class,Fishmeal and fish oil,0.0000133523,4.332767218138363e-05
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1952,"Scombridae","Mackerels, tunas, bonitos","Medium pelagics (30 - 89 cm)","Perch-likes","Japan",Industrial,Landings,Unreported,unknown class,Other,0.0000133523,4.332767218138363e-05
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1952,"Scombridae","Mackerels, tunas, bonitos","Medium pelagics (30 - 89 cm)","Perch-likes","Korea (South)",Industrial,Landings,Unreported,unknown class,Direct human consumption,0.4862718244,441.96394080633104
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1952,"Scombridae","Mackerels, tunas, bonitos","Medium pelagics (30 - 89 cm)","Perch-likes","Korea (South)",Industrial,Landings,Unreported,unknown class,Fishmeal and fish oil,0.0002433793,0.001441673606055327
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1952,"Scombridae","Mackerels, tunas, bonitos","Medium pelagics (30 - 89 cm)","Perch-likes","Korea (South)",Industrial,Landings,Unreported,unknown class,Other,0.0002433793,0.001441673606055327
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1952,"Isurus oxyrinchus","Shortfin mako","Large sharks (>=90 cm)","Sharks & rays","Japan",Industrial,Landings,Unreported,longline,Direct human consumption,0.3189484753,178.49758300835205
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1952,"Isurus oxyrinchus","Shortfin mako","Large sharks (>=90 cm)","Sharks & rays","Japan",Industrial,Landings,Unreported,longline,Fishmeal and fish oil,0.0001596339,2.2143802449429584e-06
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1952,"Isurus oxyrinchus","Shortfin mako","Large sharks (>=90 cm)","Sharks & rays","Japan",Industrial,Landings,Unreported,longline,Other,0.0001596339,2.2143802449429584e-06
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1952,"Isurus oxyrinchus","Shortfin mako","Large sharks (>=90 cm)","Sharks & rays","Korea (South)",Industrial,Landings,Unreported,longline,Direct human consumption,5.8136344591,4219.75419179792
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1952,"Isurus oxyrinchus","Shortfin mako","Large sharks (>=90 cm)","Sharks & rays","Korea (South)",Industrial,Landings,Unreported,longline,Fishmeal and fish oil,0.0029097270,7.368070539624604e-05
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1952,"Isurus oxyrinchus","Shortfin mako","Large sharks (>=90 cm)","Sharks & rays","Korea (South)",Industrial,Landings,Unreported,longline,Other,0.0029097270,7.368070539624604e-05
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1952,"Prionace glauca","Blue shark","Large sharks (>=90 cm)","Sharks & rays","Japan",Industrial,Landings,Unreported,longline,Direct human consumption,0.0066592960,3.726834706961049
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1952,"Prionace glauca","Blue shark","Large sharks (>=90 cm)","Sharks & rays","Japan",Industrial,Landings,Unreported,longline,Fishmeal and fish oil,0.0000033330,4.6233842566238996e-08
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1952,"Prionace glauca","Blue shark","Large sharks (>=90 cm)","Sharks & rays","Japan",Industrial,Landings,Unreported,longline,Other,0.0000033330,4.6233842566238996e-08
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1952,"Prionace glauca","Blue shark","Large sharks (>=90 cm)","Sharks & rays","Korea (South)",Industrial,Landings,Unreported,longline,Direct human consumption,0.1213823402,88.10386037995941
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1952,"Prionace glauca","Blue shark","Large sharks (>=90 cm)","Sharks & rays","Korea (South)",Industrial,Landings,Unreported,longline,Fishmeal and fish oil,0.0000607519,1.538372683779932e-06
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1952,"Prionace glauca","Blue shark","Large sharks (>=90 cm)","Sharks & rays","Korea (South)",Industrial,Landings,Unreported,longline,Other,0.0000607519,1.538372683779932e-06
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1952,"Alopias vulpinus","Thresher","Large sharks (>=90 cm)","Sharks & rays","Japan",Industrial,Landings,Unreported,longline,Direct human consumption,0.1456764268,81.52693018956846
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1952,"Alopias vulpinus","Thresher","Large sharks (>=90 cm)","Sharks & rays","Japan",Industrial,Landings,Unreported,longline,Fishmeal and fish oil,0.0000729111,1.0113953399255655e-06
"Kermadec Isl. (New Zealand)",eez,Inferred foreign catch,,1952,"Alopias vulpinus","Thresher","Large sharks (>=90 cm)","Sharks & rays","Japan",Industrial,Landings,Unreported,longline,Other,0.0000729111,1.0113953399255655e-06
